slug,name,email,phone,categories,summary,logo_url
msupogo,Official Pokemon GO Club,RSO.MSUPokemonGo@msu.edu,,,"MSU Pokémon GO is a club created to bring people together regarding the mobile game owned by The Pokémon Company, Nintendo and published by Augmented Reality (AR) software development company Niantic, ""Pokémon GO."" This server aims to encourage new friendships, support members of the organization, and to have fun. A big part of our goal is a focus on exploration, cooperation, and exercise.",
msutechstore,MSU Tech Store,techstore@msu.edu,,,"The MSU Tech Store has been a technology staple of the Michigan State community for over thirty years. We specialize in technology consultations, so that Spartans can feel confident they're getting the best tech for their needs. The Tech Store also operates an in-person Help Desk to aid in diagnosing computer issues and work with our repair partners to fix broken and devices. We are Michigan State University’s on-campus technology store exclusively available to MSU students, faculty, and staff. You, as a member of the Spartan community, are able to take advantage of the stores' educational discounts, hands-on learning experiences, and services. We offer a wide range of tech products including computers , accessories , gaming equipment , software , and more. BACK TO SCHOOL SALE As part of our Back-To-School promotion, we’ve put together some deals that will help you hit the ground running this school year, including: Buy a Mac or iPad for college. Get AirPods. Save with education pricin",
aero,Aerospace Club,airforce@msu.edu,,,"To be a member of Aerospace Club, you must be a member of Air Force Reserve Officer Training Corps (AFROTC) Detachment 380, a training program that prepares college students to become officers in the United States Air Force or United States Space Force. Students work with Det 380 to qualify for a commission while simultaneously completing their university undergraduate degree requirements.",
aaig,Aviation and Aerospace Medicine Interest Group,shahabby@msu.edu,,,"The Aviation and Aerospace Medicine Interest Group (AAMIG) at Michigan State University College of Human Medicine is a student-led organization dedicated to exploring the unique physiological and clinical challenges faced in aviation and space environments. As part of the Midwest Chapter of the Aerospace Medicine Student and Resident Organization (AMSRO), AAMIG aims to build awareness of aerospace medicine through speaker events, educational opportunities, and local community engagement. Our events so far have included a virtual discussion with a practicing flight surgeon and a volunteer initiative with Wings of Mercy, a nonprofit that provides free air transportation to patients in need. We welcome students of all backgrounds who are curious about the intersection of medicine, aviation, and human performance in extreme environments.",
asls,Air and Space Law Society at MSU,,,,"MISSION STATEMENT: The ASLS is dedicated to advancing awareness, scholarship, and sustainability in air and space law. Through community engagement, academic exploration, and opportunities for personal and professional growth, the ASLS provides a platform for students to engage with the complex legal and policy challenges of the rapidly evolving aerospace sector. VISION STATEMENT: The Air and Space Law Society (ASLS) envisions a world where air and space are accessible, equitable, and sustainably governed through informed and innovative legal frameworks. We aspire to empower the next generation of aerospace leaders to shape a future where all can share the benefits of advancing air and space exploration and technology. CORE PRINCIPLES: The ASLS maintains the following principles. Members should seek to embody these values in their personal lives and professional endeavors. i. Integrity: Uphold honesty and accountability in all actions and decisions, guided by the principle of doing wha",
sampemsu,SAMPE Michigan State University Student Chapter,kuloglua@msu.edu,,,"The SAMPE MSU Student Chapter is a professional student organization at Michigan State University dedicated to advancing knowledge, research, and career opportunities in advanced materials and processes. As part of the international Society for the Advancement of Material and Process Engineering (SAMPE), our chapter connects students with industry leaders, researchers, and innovators in aerospace, automotive, energy, and cutting-edge composite technologies. Our chapter also supports student participation in SAMPE conferences, design competitions, and scholarship opportunities, creating pathways for professional development and global collaboration. Membership is open to undergraduate and graduate students across all disciplines with an interest in materials, manufacturing, and innovation. Guided by faculty advisors and supported by industry partners, the SAMPE MSU Student Chapter fosters a community where Spartans can lead the future of advanced material and process engineering.",
bldsa,Biomedical Laboratory Diagnostics Student Association,strayer5@msu.edu,,,"The Biomedical Laboratory Diagnostics Student Association (BLDSA) is a student led association that coordinates events for students to make connections, hear from guest speakers and ask questions about their experiences, and provides opportunities to participate in community service.",
msunobcche,National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,,,,NOBCChE intends to address the diverse needs and interests of chemistry and chemical engineering students; provide access to supports and job connections for students; and promote awareness of the various fields involved with STEM majors.,
oxe,Omega Chi Epsilon,gouinela@msu.edu,,,"Since the organization’s founding in 1931, Omega Chi Epsilon has recognized the academic merit and strong character of people in their junior or senior year of study in chemical engineering programs across the nation. To be considered for membership, juniors must rank in the upper 25% of their class and have a GPA of 3.25 or more. Seniors in the upper 33% must have a GPA of 3.0 or more to be eligible. They must also have completed at least one chemical engineering course. If you choose to join Omega Chi Epsilon, you will become part of an organization that stands for excellence in the field of chemical engineering. The Alpha Zeta chapter here at Michigan State University has participated in many activities. Our main event is tutoring for CHE 201 and CHE 210 students, but we also volunteer at various College of Engineering and STEM-related events.",
msuhaa,"Hybrid Athlete Association, Michigan State University ",theMSUHAA@gmail.com,,,"The purpose of this organization is to promote a hybrid method of training that incorporates strength training, endurance training, nutrition, and recovery and understanding the science involved with both processes down to a chemical and biological level allowing for a deeper level of understanding within the bodily systems. We believe that a hybrid athlete is someone who prioritizes improvements in all aspects of their health. This perspective enables our members to not only enhance their physical capabilities through strength and endurance training but also to gain a profound insight into the underlying scientific principles that govern these processes. By delving into the molecular and systemic intricacies of the human body, we aim to cultivate a community of well-informed individuals who can apply scientific theory to practical training, thereby achieving optimal results in personal health, athletic performance, and a biological understanding.",
spartanupcycle,Spartan Upcycle,deskakat@msu.edu,,,"Create more, and waste less with Spartan Upcycle, the creative reuse branch of the MSU Surplus Store & Recycling Center. We host hands-on DIY and arts/crafts events that give you the chance to reuse, repurpose, and reimagine discarded materials. Join us for Student Upcycle Fridays and other events! View our Events Details Page and follow @spartanupcycle and @msu_recycling for updates and recap photos. Spartan Upcycle encourages all of us to rethink traditional definitions of value and purpose, challenge ourselves and empower each other to take creative risks, and ultimately discover a new use for items that were once thought of as waste. Are you a student looking to hold a crafting event? Source materials from us! Submit a request here .",
spartanbook,Spartan Bookstore,astraatman@follett.com,,,"THE BEST PLACE FOR TEXTBOOKS We work directly with faculty to ensure we have the right materials We carry every book and supporting material you’ll need – other places only carry the most popular titles Options: Rental, digital, used or new – choose the format that best suits your needs…and budget Use financial aid funds and Sparty Cash in-store and online Order online and pick up in-store for free We price match against Amazon and most local competitors.* Find a cheaper advertised price within seven days, and we’ll give you the difference on a gift card. We buy back new and used textbooks year-round and give you cash back. We are your store from orientation through graduation! Rental books cost less than new books. Use it. Highlight in it. Write in it. Return it. What are the book rental rules? Create a book rental profile and provide some personal info. and a credit card as collateral – we will charge you for the book if you don’t return it. You can highlight and take notes in rented",
aesg,Academic Excellence Student Group ,steve757@msu.edu,,,"The Academic Excellence Student Group is dedicated to improving the educational experience of students at every level by streamlining the integration of third-party resources, independent study plans, and faculty-created learning materials.",
mcatc,"MCAT Club, MSU",wilker61@msu.edu,,,"The MCAT Club is to provide pre-med students at Michigan State University with resources and support for MCAT preparation, including access to free and paid materials, study groups, and expert advice.",
spe-msu,Society of Plastics Engineers Michigan State University Student Chapter,hasanah4@msu.edu,,,"SPE’s MSU Student Chapter is a student led organization that seeks to educate, promote, recognize, and communicate technical accomplishments for all phases of plastics and plastic based-composite developments – particularly in the automotive industry. Topic areas include applications, materials, processing, equipment, tooling, design, and development.",
transaction,TransAction,transactionmsu@gmail.com,,,"TransAction seeks to build a sense of community among MSU students who are transgender, nonbinary, and/or gender non-conforming, as well as to defend their rights and advocate for their specific social, educational, and cultural needs. These students often face harassment, hostility, and discrimination in every area of their lives, including when interacting with the university. A supportive network will help combat the transphobia, cissexism, transmisogyny, and isolation that these students frequently experience. Regular meetings are held weekly in collaboration with Transcend and tend to be focused on community building with activities such as painting, presentation night, self-care, board game night, and more! Larger scale events vary from year to year but usually take place throughout the semester. Office hours are held at least once per week and as e-board availability allows, providing access to another community space with free gender affirming materials, snacks, the transform c",
rhoepsiloniota,RHO EPSILON IOTA ,beshear5@msu.edu,,,"The purpose of Rho Epsilon Iota is to foster the ideals of honesty, equality, representation, knowledge, and professionalism in all facets of real estate. These ideals are reflected in the fraternal programs for which its members and auxiliary groups can actively learn and engage in real estate acquisitions, professional appraisals, fund management, residential licensure, continuing education, community outreach, networking, and commercial development, and architectural creation/design.",
lera,Labor and Employment Relations Association MSU Student Affiliate,robachje@msu.edu,,,"The Labor and Employment Relations Association (LERA) is the singular organization in the country where professionals interested in all aspects of labor and employment relations network to share ideas and learn about new developments, issues, and practices in the field. The LERA chapter at Michigan State University is a student association that works to provide a platform for the latest information regarding labor, employment, and industrial relations news and trends through presentations from Human Resource professionals as well as periodicals distributed through social media mediums. Our mission is to cultivate an innovative community of professionals and scholars who are committed to transforming the workplace through inclusive dialogue, education, and advocacy. We aim to enrich our members' understanding and expertise through targeted skill-building workshops, engaging events, and meaningful networking opportunities. By fostering a space where varied perspectives are valued and hea",
